pub_date	title	venue	excerpt	citation	url_slug	paper_url
2018-04-19	GWPy version 0.10.0	Zenodo.org	This is GWPy release version 0.10.0.	D. Macleod, A. L. Urban, S. Coughlin, T. J. Massinger, J. Areeda, E. Quintero, and The Gitter Badger. (2018). gwpy/gwpy: 0.10.0 (Version v0.10.0). Zenodo. 	gwpy	http://doi.org/10.5281/zenodo.1220581
2018-04-04	Reconstructing the calibrated strain signal in the Advanced LIGO detectors	Classical and Quantum Gravity	This paper documents the calibration scheme used to reconstruct strain data during Advanced LIGO.	A. D. Viets, M. Wade, A. L. Urban, S. Kandhasamy, J. Betzwieser, Duncan A. Brown, J. Burguet-Castell, C. Cahillane, E. Goetz, K. Izumi, S. Karki, J. S. Kissel, G. Mendell, R. L. Savage, X. Siemens, D. Tuyenbayev, and A. J. Weinstein. (2018). "Reconstructing the calibrated strain signal in the Advanced LIGO detectors,” CQG 35 (9).	reconstructing-calibrated-hoft-aligo	http://doi.org/10.1088/1361-6382/aab658
2017-10-16	GW170817: Observation of Gravitational Waves from a Binary Neutron Star Inspiral	Physical Review Letters	This paper reports the first direct detection of a binary neutron star inspiral at 40 Mpc.	B. P. Abbott et al. (2017). "GW170817: Observation of Gravitational Waves from a Binary Neutron Star Inspiral,” Phys. Rev. Lett. vol. 119, p. 161101.	gw170817	http://doi.org/10.1103/PhysRevLett.119.161101
2017-10-16	Gravitational Waves and Gamma-rays from a Binary Neutron Star Merger: GW170817 and GRB 170817A	Astrophysical Journal	This paper reports the first gamma-ray burst observed in coincidence with a gravitational wave signal.	B. P. Abbott et al. (2017). "Gravitational Waves and Gamma-rays from a Binary Neutron Star Merger: GW170817 and GRB 170817A,” ApJ vol. 848, no. 2.	gw170817-grb	http://doi.org/10.3847/2041-8213/aa920c
2017-09-27	GW170814: A Three-Detector Observation of Gravitational Waves from a Binary Black Hole Coalescence	Physical Review Letters	This paper reports the first observation of a gravitational wave signal by the Virgo detector in Cascina, Italy.	B. P. Abbott et al. (2017). “GW170814: A Three-Detector Observation of Gravitational Waves from a Binary Black Hole Coalescence,” Phys. Rev. Lett. vol. 119, p. 141101.	gw170814	http://doi.org/10.1103/PhysRevLett.119.141101
2016-02-11	Observation of Gravitational Waves from a Binary Black Hole Merger	Physical Review Letters	The first direct detection of gravitational waves, from a stellar-mass binary black hole merger.	B. P. Abbott et al. (2016). “Observation of Gravitational Waves from a Binary Black Hole Merger,” Phys. Rev. Lett. vol. 116, p. 061102.	gw150914	https://doi.org/10.1103/PhysRevLett.116.061102
2013-04-02	Prospects for Observing and Localizing Gravitational-Wave Transients with Advanced LIGO, Advanced Virgo and KAGRA	Living Reviews in Relativity	The observing scenarios envisioned for the era of advanced gravitational wave detectors.	B. P. Abbott et al. (2016). “Prospects for Observing and Localizing Gravitational-Wave Transients with Advanced LIGO, Advanced Virgo and KAGRA,” Living Rev. Rel. 19 (1).	observing-scenarios	https://doi.org/10.1007/lrr-2016-1
2017-06-06	GW170104: Observation of a 50-Solar-Mass Binary Black Hole Coalescence at Redshift 0.2	Physical Review Letters	This is the highest-redshift binary black hole merger observed to date.	B. P. Abbott et al. (2017). “GW170104: Observation of a 50-Solar-Mass Binary Black Hole Coalescence at Redshift 0.2,” Phys. Rev. Lett. vol. 118, p. 221101.	gw170104	http://doi.org/10.1103/PhysRevLett.118.221101
2016-06-15	GW151226: Observation of Gravitational Waves from a 22-Solar-Mass Binary Black Hole Coalescence	Physical Review Letters	The second binary black hole merger observed, which occurred on my birthday :)	B. P. Abbott et al. (2016). “GW151226: Observation of Gravitational Waves from a 22-Solar-Mass Binary Black Hole Coalescence,” Phys. Rev. Lett. vol. 116, p. 241103.	gw151226	http://doi.org/10.1103/PhysRevLett.116.241103
2016-02-26	Localization and Broadband Follow-up of the Gravitational-wave Transient GW150914	Astrophysical Journal Letters	A report on optical, radio, and high-energy follow-up of the gravitational wave signal GW150914.	B. P. Abbott et al., “Localization and Broadband Follow-up of the Gravitational-wave Transient GW150914,” ApJL, vol. 826, p. L13.	gw150914-em	http://doi.org/10.3847/2041-8205/826/1/L13
2014-04-22	The First Two Years of Electromagnetic Follow-up with Advanced LIGO and Virgo	Astrophysical Journal	This paper is a comprehensive look at sky map morphologies expected in the first two years of Advanced LIGO, including a catalogue of simulated sky maps for astronomers.	L. P. Singer, L. R. Price, B. Farr, A. L. Urban, C. Pankow, S. Vitale, J. Veitch, W. M. Farr, C. Hanna, K. Cannon, T. Downes, P. Graff, C.-J. Haster, I. Mandel, T. Sidery, and A. Vecchio, “The First Two Years of Electromagnetic Follow-up with Advanced LIGO and Virgo,” ApJ, vol. 795, p. 105.	first-two-years	http://doi.org/10.1088/0004-637X/795/2/105